lat,lon
30.5,-87.5
30.5,-86.5
29.5,-85.5
29.5,-84.5
29.5,-83.5
30.5,-82.5
28.5,-82.5
27.5,-82.5
26.5,-81.5
25.5,-81.5
24.5,-80.5
